中央氣象局  逐月逐日氣象資料
測站:2005 TAINAN 467410
項目:極端最高氣溫(℃)Absolute Maximum Temperature
時間:臺南
經度:120°12' 17.40〞E 緯度:22°59' 35.80〞N
D\M           1           2           3           4           5           6           7           8           9          10          11          12
1  15.6/12:40  18.7/13:03  20.7/12:27  28.2/15:15  34.6/11:58  32.7/13:27  35.1/11:52  34.2/11:07  28.4/21:56  33.7/11:47  29.1/13:11  28.6/11:54                                                                                                                                                            
2  20.6/14:49  23.0/14:05  22.3/11:03  26.3/13:45  33.2/12:30  28.6/09:35  34.3/13:56  34.1/12:56  33.1/11:38  28.3/03:02  29.3/11:40  28.2/13:36                                                                                                                                                            
3  21.6/13:40  24.7/12:55  16.0/13:04  28.7/13:59  33.8/11:43  27.0/01:06  34.8/10:37  34.3/13:16  34.1/11:49  32.8/11:38  28.6/11:15  28.4/13:30                                                                                                                                                            
4  21.8/12:04  27.9/13:09  15.2/12:47  29.5/12:42  33.6/13:37  32.2/09:40  33.7/11:34  31.9/12:29  32.7/11:48  33.7/13:40  28.8/12:05  23.9/12:39                                                                                                                                                            
5  24.1/14:01  27.9/13:25  17.7/12:25  28.6/11:16  35.0/12:02  31.1/13:54  34.9/11:49  31.4/14:43  34.0/12:59  34.0/11:00  29.9/12:04  20.6/15:02                                                                                                                                                            
6  25.2/14:22  29.6/13:27  21.9/13:18  29.8/11:52  28.7/07:34  32.6/11:32  36.1/12:26  32.3/11:13  32.8/11:57  33.5/11:28  31.0/11:58  17.1/14:10                                                                                                                                                            
7  26.3/13:53  30.0/14:27  23.6/14:07  31.3/11:02  33.1/12:02  32.0/12:00  33.7/13:11  34.1/12:54  33.6/14:14  33.2/11:08  31.5/13:25  21.5/14:01                                                                                                                                                            
8  23.9/14:00  27.0/14:09  26.8/12:52  31.7/13:05  32.6/11:57  33.2/10:47  34.0/13:09  33.9/12:59  33.0/12:55  32.8/13:57  31.7/13:09  22.9/14:04                                                                                                                                                            
9  20.2/14:02  25.7/14:24  29.3/12:36  31.6/12:36  32.4/09:36  34.2/10:54  34.6/12:02  35.3/11:53  32.4/11:24  32.7/12:37  31.4/12:16  26.7/14:57                                                                                                                                                            
10  21.8/13:53  25.9/14:07  29.5/14:11  33.2/12:27  24.6/03:56  33.2/12:32  34.5/10:27  34.0/14:36  32.6/14:29  32.8/13:38  30.7/12:28  26.4/14:01                                                                                                                                                            
11  24.4/14:23  24.7/13:04  29.1/13:02  33.6/13:39  31.7/10:18  32.7/15:33  34.0/13:29  35.1/13:38  32.4/13:07  33.4/11:48  31.6/12:34  26.5/11:48                                                                                                                                                            
12  23.8/13:09  24.9/11:17  21.2/00:01  31.2/12:18  32.4/13:14  29.4/12:44  33.9/11:46  33.6/10:38  35.1/10:59  32.8/13:27  30.2/14:20  19.2/13:04                                                                                                                                                            
