中央氣象局  逐月逐日氣象資料
測站:2005 TAINAN 467410
項目:極端最低氣溫(℃)Absolute Minimum Temperature
時間:臺南
經度:120°12' 17.40〞E 緯度:22°59' 35.80〞N
D\M           1           2           3           4           5           6           7           8           9          10          11          12
1   8.3/05:28  12.2/06:09  13.0/00:15  19.1/03:10  24.6/05:30  26.4/06:11  26.4/04:17  27.3/05:12  24.8/08:09  27.4/05:35  20.5/06:04  20.0/03:07                                                                                                                                                            
2   8.7/00:01  13.5/22:19  14.7/23:21  19.0/23:45  25.8/04:10  24.9/07:54  27.7/04:58  28.0/05:36  27.5/00:01  24.0/17:51  23.4/03:43  18.7/06:50                                                                                                                                                            
3  12.4/04:33  13.0/03:38  11.5/17:40  18.2/03:03  25.7/05:32  24.8/09:27  28.3/05:25  28.1/05:01  26.3/05:22  26.2/01:35  23.7/04:48  19.2/06:52                                                                                                                                                            
4  16.6/23:10  15.2/02:10  10.2/23:56  16.7/05:33  26.3/04:07  24.8/16:59  27.7/05:11  28.7/17:41  26.6/05:03  26.4/05:51  24.1/06:14  16.5/23:02                                                                                                                                                            
5  15.7/03:04  16.2/06:47   8.5/22:46  18.4/04:25  25.5/05:16  23.8/03:46  27.2/05:21  28.3/02:16  26.4/05:10  26.5/01:55  22.9/06:54  12.8/23:04                                                                                                                                                            
6  15.8/04:41  16.5/02:59   7.9/06:19  19.0/04:30  23.2/10:12  25.9/04:44  27.5/05:45  29.4/22:37  27.4/06:05  27.4/03:12  24.3/06:11  12.6/01:29                                                                                                                                                            
7  16.2/02:12  19.7/06:52  11.0/03:03  22.3/02:55  23.5/05:26  25.8/05:16  27.9/17:11  26.7/07:30  26.8/06:03  26.7/22:28  25.1/23:52  14.6/02:20                                                                                                                                                            
8  16.2/05:13  17.6/23:47  12.4/06:07  23.2/05:53  23.7/19:40  24.7/05:07  28.0/02:58  27.7/18:48  27.0/05:47  26.2/06:22  24.3/03:23  15.2/03:20                                                                                                                                                            
9  15.5/23:58  16.9/04:28  16.4/06:14  25.1/00:59  24.0/22:52  26.3/05:20  27.2/05:38  27.9/03:26  27.8/06:17  24.8/23:38  24.7/01:47  16.3/05:53                                                                                                                                                            
10  14.4/05:59  14.7/23:49  19.5/03:33  24.4/05:10  22.7/10:09  27.0/05:25  27.3/04:22  28.1/05:33  26.6/05:53  24.1/05:23  25.5/23:55  16.9/06:36                                                                                                                                                            
11  15.2/06:28  14.0/05:54  21.3/23:59  22.5/05:42  23.2/03:32  26.1/03:04  28.3/04:54  27.4/05:53  26.6/04:49  26.0/23:55  23.9/06:35  17.7/23:17                                                                                                                                                            
12  16.3/00:49  14.8/23:55   8.9/22:07  22.7/23:42  25.3/05:33  25.3/18:11  27.9/05:42  25.8/19:10  27.0/05:46  24.3/05:12  24.8/05:22  15.1/23:48                                                                                                                                                            
13  14.8/21:03  14.4/03:47   8.7/23:09  17.2/06:17  25.2/01:58  24.8/07:42  28.0/05:38  25.6/03:34  28.2/05:52  25.6/03:29  25.2/06:01  14.6/04:28                                                                                                                                                            
14  11.6/23:07  16.0/01:21   8.4/04:25  18.6/04:48  26.4/04:53  25.1/19:42  27.9/23:07  25.0/07:56  27.6/05:47  24.3/23:43  24.6/06:00  12.7/23:30                                                                                                                                                            
15  10.3/23:31  16.6/04:53  14.3/01:53  21.7/01:25  27.1/05:37  24.5/23:24  27.2/04:54  24.6/16:57  27.6/05:14  23.5/06:05  21.3/22:55  11.7/23:49                                                                                                                                                            
16   9.0/05:46  21.1/06:34  16.6/05:26  22.5/05:18  26.9/05:54  24.4/08:44  27.9/05:56  22.6/17:51  27.9/03:39  21.8/05:40  20.1/07:12  10.9/03:57                                                                                                                                                            
17   7.8/06:46  18.9/23:22  18.8/05:17  23.4/04:51  26.9/05:07  24.4/00:57  27.0/20:21  24.8/05:04  27.2/06:19  22.0/05:32  19.8/04:33  11.8/06:36                                                                                                                                                            
18  11.7/05:28  16.0/23:56  16.0/23:07  22.4/05:02  27.1/03:44  26.7/05:53  23.9/23:08  23.8/22:51  28.2/05:58  22.8/03:10  18.8/04:39  10.1/06:32                                                                                                                                                            
19  13.0/06:33  11.1/23:44  15.3/05:26  23.2/05:13  27.2/03:46  25.8/04:07  23.8/20:18  23.7/00:57  27.0/05:01  23.2/05:53  18.6/06:06  13.0/05:07                                                                                                                                                            
20  13.8/07:03   8.2/10:31  15.5/03:50  24.4/02:51  25.3/05:18  25.8/04:55  23.2/15:35  24.6/23:50  26.9/05:50  22.8/04:40  17.8/06:21  15.8/07:02                                                                                                                                                            
21  13.1/06:23   9.2/00:20  16.7/03:59  23.8/06:08  25.5/00:57  25.6/17:18  23.4/02:37  24.3/03:05  27.1/05:42  23.9/23:51  17.2/23:31  13.4/23:58                                                                                                                                                            
22  15.2/06:07  12.5/03:12  19.9/01:17  24.5/05:03  26.4/04:46  26.1/05:12  25.7/01:17  25.4/03:01  26.2/19:25  21.4/23:39  17.5/00:02   9.2/23:29                                                                                                                                                            
23  16.1/06:56  15.4/02:21  16.9/23:59  24.2/23:38  26.2/03:33  25.4/04:14  25.7/05:28  27.4/04:45  26.0/02:08  20.0/05:04  19.5/05:15   8.5/01:50                                                                                                                                                            
24  15.0/06:19  20.5/03:14  16.0/01:23  23.6/00:50  23.9/01:21  25.1/15:12  26.7/05:20  22.2/17:15  26.5/06:11  20.4/05:27  18.6/06:22  13.0/06:41                                                                                                                                                            
25  17.8/07:22  17.9/23:26  16.2/04:13  23.5/05:44  24.9/03:45  24.6/04:28  26.3/04:04  25.3/04:11  26.5/05:57  22.1/03:39  18.2/05:24  14.8/04:14                                                                                                                                                            
26  16.9/23:17  15.2/23:59  16.4/05:48  22.3/10:57  24.5/04:17  26.8/03:53  26.5/05:34  26.1/17:25  25.6/04:49  22.0/06:46  18.6/06:42  15.2/06:11                                                                                                                                                            
27  16.5/23:35  14.4/03:39  20.1/01:52  23.4/00:16  25.2/23:07  27.6/04:34  26.8/05:32  26.0/05:35  25.2/03:58  22.0/06:09  18.9/06:55  14.8/06:40                                                                                                                                                            
28  16.0/05:33  13.0/23:25  22.5/05:47  24.4/08:04  25.4/04:24  24.3/02:41  27.4/05:08  27.9/04:24  26.2/04:44  24.3/04:59  20.3/06:08  16.5/06:37                                                                                                                                                            
29  16.1/06:25              19.0/19:56  24.3/05:01  25.8/04:03  26.2/03:29  26.8/16:31  27.5/05:28  27.1/05:36  22.1/23:44  18.3/23:35  17.2/00:01                                                                                                                                                            
30  14.8/23:51              17.0/04:12  24.9/04:45  25.3/02:54  26.5/04:46  26.8/05:21  27.7/05:53  27.2/05:36  20.2/21:38  16.8/04:32  18.1/00:18                                                                                                                                                            
31  13.0/23:37              17.3/05:36              25.8/04:21              26.6/18:18  27.4/12:31              18.9/04:42              17.7/07:51                                                                                                                                                            
