菏代ら戳	PSI	夹γ琕	珇借单	SO2	NO2	O3	CO	PM10
2005/1/1	68	腶疊稬采	炊硄	10.1	14.2	23.2	0.41	85
2005/1/2	73	腶疊稬采	炊硄	12.2	27	16.5	0.63	96
2005/1/3	80	腶疊稬采	炊硄	14.1	31.7	12.1	0.75	110
2005/1/4	64	腶疊稬采	炊硄	10	23.8	17.6	0.61	77
2005/1/5	70	腶疊稬采	炊硄	10.6	24.4	18	0.64	90
2005/1/6	62	腶疊稬采	炊硄	9.1	18.9	17.7	0.18	75
2005/1/7	64	腶疊稬采	炊硄	10.5	22.1	19.8	0.53	77
2005/1/8	58	腶疊稬采	炊硄	9	16.3	18.5	0.44	67
2005/1/9	56	腶疊稬采	炊硄	9.1	16.3	13.7	0.46	63
2005/1/10	54	腶疊稬采	炊硄	9.4	18.7	11.7	0.48	59
2005/1/11	54	腶疊稬采	炊硄	10.9	22.1	13.6	0.5	59
2005/1/12	56	腶疊稬采	炊硄	8.9	11.8	17.9	0.44	63
2005/1/13	37	腶疊稬采	▆	8.2	14.6	10.1	0.48	37
2005/1/14	46	腶疊稬采	▆	8.8	11.5	14.7	0.47	46
2005/1/15	77	腶疊稬采	炊硄	13.3	14.9	24.8	0.57	104
2005/1/16	86	腶疊稬采	炊硄	14.3	17.4	29.2	0.59	123
2005/1/17	82	腶疊稬采	炊硄	14	31.7	21.7	0.77	113
2005/1/18	92	腶疊稬采	炊硄	16	37.3	20.3	0.96	135
2005/1/19	81	腶疊稬采	炊硄	13.3	31.8	21.2	0.72	112
2005/1/20	64	腶疊稬采	炊硄	10.9	21.5	21.1	0.65	78
2005/1/21	58	腶疊稬采	炊硄	11.1	21.6	21.6	0.53	67
2005/1/22	82	腶疊稬采	炊硄	10.6	23.8	26.4	0.62	114
2005/1/23	74	腶疊稬采	炊硄	10.5	22.2	29.5	0.79	98
2005/1/24	74	腶疊稬采	炊硄	12	27.6	28.1	0.92	97
2005/1/25	58	腶疊稬采	炊硄	11.3	24.7	21.6	0.83	66
2005/1/26	64	腶疊稬采	炊硄	10.6	23.2	20	0.66	79
2005/1/27	80	腶疊稬采	炊硄	9.9	23.5	23.1	0.69	110
2005/1/28	86	腶疊稬采	炊硄	10.2	26.3	9.7	0.7	123
2005/1/29	66	腶疊稬采	炊硄	8.8	22.3	8.8	0.54	82
2005/1/30	70	腶疊稬采	炊硄	8.6	17.1	9.7	0.55	89
2005/1/31	65	腶疊稬采	炊硄	10.4	20.8	6	0.38	80
2005/2/1	76	腶疊稬采	炊硄	12	23.8	13.6	0.61	101
2005/2/2	90	腶疊稬采	炊硄	15.6	33.5	13.6	0.79	131
2005/2/3	77	腶疊稬采	炊硄	14.4	31.6	17.5	0.72	104
2005/2/4	84	腶疊稬采	炊硄	14	32	18.7	0.84	118
2005/2/5	100	腶疊稬采	炊硄	13.8	34	18.2	0.9	151
2005/2/6	96	腶疊稬采	炊硄	12.3	27.6	17.5	0.83	141
2005/2/7	83	腶疊稬采	炊硄	12.2	27.9	21.5	0.95	116
