中央氣象局  逐月逐日氣象資料
測站:2005 TAINAN 467410
項目:平均相對濕度(%)Relative Humidity
時間:臺南
經度:120°12' 17.40〞E 緯度:22°59' 35.80〞N
D\M   1   2   3   4   5   6   7   8   9  10  11  12
1  52  64  79  81  69  79  74  73  99  73  71  71                                                    
2  63  67  83  78  75  88  73  73  77  90  75  77                                                    
3  69  72  83  65  76  97  77  73  75  78  78  76                                                    
4  75  74  65  59  76  87  78  83  78  73  76  65                                                    
5  75  79  60  64  67  78  72  87  74  75  78  58                                                    
6  78  78  50  65  77  70  72  84  76  76  74  61                                                    
7  77  75  64  72  72  67  74  80  68  79  74  73                                                    
8  73  83  56  75  80  70  76  78  69  77  78  76                                                    
9  72  83  57  75  72  70  73  73  69  75  75  77                                                    
10  74  77  70  72  92  80  75  78  75  75  72  80                                                    
11  77  72  74  72  78  87  76  77  76  69  72  74                                                    
12  75  76  85  73  80  98  79  85  74  72  79  70                                                    
13  85  77  83  79  85  100  75  85  74  76  81  64                                                    
14  81  75  70  76  75  100  74  88  75  73  78  72                                                    
15  67  76  71  65  74  100  69  83  76  69  72  60                                                    
16  57  69  70  62  71  100  71  78  74  65  66  62                                                    
17  60  69  70  65  72  87  82  82  78  64  66  62                                                    
18  65  81  68  73  73  77  97  91  72  62  67  58                                                    
19  74  78  63  71  73  80  95  83  73  67  63  69                                                    
20  78  88  71  66  74  82  98  89  74  70  71  78                                                    
21  77  86  73  66  73  86  90  91  72  73  77  59                                                    
22  78  80  76  69  67  83  76  83  90  70  82  49                                                    
23  72  73  69  71  68  83  76  81  78  66  79  63                                                    
24  70  74  60  72  80  88  79  84  76  70  76  68                                                    
25  72  86  60  75  78  86  77  83  71  70  75  66                                                    
26  77  84  66  79  71  79  73  78  71  77  75  77                                                    
27  76  77  76  73  73  78  73  77  71  78  75  76                                                    
28  81  85  77  76  73  96  77  79  74  80  60  87                                                    
29  77      78  76  73  84  85  73  72  76  62  95                                                    
30  79      80  71  70  74  75  76  74  76  70  97                                                    
31  76      83      75      75  82      73      90                                                    
