中央氣象局  逐月逐日氣象資料
測站:2005 TAINAN 467410
項目:平均氣溫(℃)Temperature
時間:臺南
經度:120°12' 17.40〞E 緯度:22°59' 35.80〞N
D\M    1    2    3    4    5    6    7    8    9   10   11   12
1 11.0 14.8 15.8 22.1 28.9 28.4 30.2 30.4 26.5 29.7 24.5 23.2                                                                 
2 14.2 16.1 17.0 22.0 28.4 26.7 30.8 30.6 29.5 26.3 25.9 22.6                                                                 
3 17.1 17.3 13.7 23.0 28.7 25.7 30.7 30.6 29.6 29.1 25.8 22.8                                                                 
4 18.8 20.7 12.8 22.0 28.8 27.2 30.1 29.7 29.2 29.4 26.1 20.0                                                                 
5 18.7 20.4 12.3 22.6 29.6 27.3 30.4 29.5 29.9 29.3 26.1 16.3                                                                 
6 19.0 21.5 13.7 24.1 26.0 28.8 30.9 30.4 29.7 29.6 27.1 14.7                                                                 
7 19.6 23.8 16.5 26.1 27.9 28.9 30.4 30.0 29.8 28.8 27.5 17.2                                                                 
8 18.9 20.7 18.5 26.9 27.2 29.1 30.2 30.0 29.3 28.6 26.8 18.3                                                                 
9 17.2 19.4 22.3 27.2 28.0 29.4 30.6 30.8 29.7 27.7 27.3 20.2                                                                 
10 17.2 19.3 23.9 27.8 23.7 29.4 30.4 30.3 28.9 27.8 27.1 21.2                                                                 
11 18.5 18.1 24.3 26.6 27.1 28.5 30.8 30.7 29.0 28.8 27.3 21.1                                                                 
12 18.3 18.1 15.5 25.9 28.0 26.7 30.6 28.6 30.4 27.6 27.1 16.9                                                                 
13 16.1 18.4 10.0 19.1 28.2 26.0 30.7 27.4 30.8 28.5 27.2 16.5                                                                 
14 14.2 20.0 15.0 21.0 29.6 25.8 30.0 27.1 30.6 27.5 26.8 15.0                                                                 
15 12.8 23.9 20.0 25.5 30.4 26.0 30.8 27.4 30.4 26.5 24.7 14.6                                                                 
16 12.7 25.7 22.4 26.3 30.8 24.9 31.5 27.4 30.3 25.8 23.1 15.7                                                                 
17 13.5 24.4 23.7 26.9 30.3 27.6 29.3 27.4 29.7 25.9 22.8 14.9                                                                 
18 16.7 20.3 19.9 26.4 30.6 29.4 25.8 25.6 30.4 26.1 22.3 14.8                                                                 
19 17.3 13.3 19.4 27.2 30.3 29.2 26.5 26.7 29.9 26.4 21.5 17.3                                                                 
20 17.0  9.3 21.0 27.5 29.1 29.1 24.8 26.6 29.7 26.0 20.2 19.0                                                                 
21 17.1 11.8 22.0 27.8 29.0 28.5 25.7 27.1 29.9 26.5 19.3 16.6                                                                 
22 18.6 16.4 25.7 27.8 30.0 28.7 28.8 28.9 27.2 24.9 20.9 12.8                                                                 
23 19.7 21.0 22.9 28.3 29.9 28.6 29.3 29.1 28.2 23.4 22.4 14.3                                                                 
24 20.8 24.2 19.6 26.9 27.8 26.9 29.1 28.8 29.0 23.8 21.9 17.0                                                                 
25 22.4 21.1 19.6 27.0 28.2 27.8 29.1 28.7 28.6 25.3 22.2 19.0                                                                 
26 20.5 17.7 21.5 24.9 28.7 29.5 29.1 29.2 28.6 25.7 22.5 18.6                                                                 
27 20.7 17.5 24.4 25.9 29.1 29.8 30.0 29.9 29.0 26.0 23.2 18.5                                                                 
28 18.9 14.7 25.1 26.9 28.8 26.0 29.9 30.1 29.0 26.5 24.8 18.0                                                                 
29 20.1      23.9 27.8 29.0 27.7 28.9 30.3 29.6 25.9 22.2 18.1                                                                 
30 18.2      19.7 28.8 29.5 29.8 30.3 29.9 29.4 22.5 20.9 19.2                                                                 
31 15.2      20.5      28.4      29.9 28.9      22.5      19.8                                                                 
