中央氣象局  逐月逐日氣象資料

測站:臺南 467410 項目:平均氣溫(℃) 時間:2006 經度:120°12' 17〞E 緯度:22°59' 36〞N
D\M     1    2    3    4    5    6    7    8    9   10   11   12
 1   20.1 19.4 12.9 26.1 28.3 28.1 30.8 30.0 29.1 28.4 23.4 22.1
 2   18.7 19.1 13.8 27.0 27.8 26.8 30.6 29.8 29.4 28.8 23.2 21.5
 3   19.0 17.8 17.0 27.2 27.0 25.7 30.8 27.8 29.0 28.3 23.3 19.8
 4   19.8 16.3 19.4 27.6 26.6 27.9 30.8 27.1 29.3 26.7 24.4 21.3
 5   18.2 16.4 20.8 27.2 27.5 28.4 31.0 28.3 27.9 25.6 25.7 22.2
 6   13.2 18.8 22.7 26.1 28.7 28.6 31.0 29.2 27.4 26.3 25.8 22.5
 7   11.4 18.7 22.4 25.0 29.3 28.9 30.5 29.5 27.8 26.1 24.4 23.6
 8   14.1 17.9 22.4 25.6 28.8 28.9 28.3 29.5 28.0 26.6 24.7 23.9
 9   16.9 16.4 23.2 27.2 29.3 27.0 29.0 28.3 27.9 26.6 24.9 22.6
10   18.0 16.7 23.6 27.3 29.4 24.4 29.7 29.1 27.5 27.6 24.9 20.6
11   18.0 18.8 23.7 28.1 29.0 24.6 30.3 30.2 27.2 27.9 24.8 21.5
12   20.6 19.3 22.1 28.4 28.4 25.9 29.9 30.3 28.6 27.8 24.1 23.2
13   19.6 20.4 14.1 25.6 27.9 27.6 27.7 30.2 29.2 27.6 24.7 23.8
14   20.8 22.5 16.4 22.6 25.4 28.6 26.1 30.1 28.5 27.5 23.8 21.0
15   21.2 25.3 20.3 20.6 25.7 28.9 27.0 30.2 28.1 27.4 22.8 20.0
16   21.3 24.5 23.7 18.1 26.4 29.2 25.7 30.5 28.3 27.5 24.7 16.5
17   20.7 18.0 24.6 22.2 27.9 29.6 28.3 29.7 28.1 27.4 25.7 15.5
18   20.6 17.9 26.1 24.6 26.8 30.0 28.6 27.8 27.6 27.4 26.8 16.2
19   20.9 19.0 24.5 26.3 27.4 27.9 29.2 27.7 27.8 27.3 26.5 18.6
20   19.7 19.3 21.3 26.2 27.8 28.7 29.7 28.7 27.5 27.7 25.2 19.4
21   17.7 20.2 23.5 26.0 28.6 29.4 30.4 29.4 27.6 27.4 25.7 18.9
22   14.9 22.5 24.2 27.9 29.1 29.9 30.5 29.2 28.1 27.6 25.6 18.4
23   15.8 19.9 22.8 27.6 28.7 29.8 30.8 29.0 28.3 27.8 25.2 19.4
24   17.8 19.9 19.2 26.1 28.7 30.1 30.2 29.5 28.1 27.5 24.8 19.9
25   17.8 20.5 21.6 26.9 28.8 30.5 27.0 29.7 28.2 26.0 25.0 18.3
26   17.3 21.1 20.7 27.6 29.1 30.7 26.3 29.0 27.8 27.1 26.0 18.2
27   17.0 19.2 20.5 27.4 28.7 30.6 27.7 28.7 28.0 27.5 25.5 19.1
28   18.0 18.2 21.6 24.1 28.2 30.8 29.1 30.0 28.1 27.2 23.4 17.6
29   19.7      21.5 24.2 23.8 31.1 29.4 30.1 28.5 27.2 24.0 16.8
30   19.4      22.7 26.7 25.2 31.0 29.4 30.3 29.0 26.4 22.8 17.9
31   19.3      23.5      27.9      30.0 29.7      24.8      19.0
AVG  18.3 19.4 21.2 25.8 27.8 28.7 29.2 29.3 28.2 27.2 24.7 20.0
