中央氣象局  逐月逐日氣象資料

測站:臺南 467410 項目:絕對最高氣溫(℃) 時間:2006 經度:120°12' 17〞E 緯度:22°59' 36〞N
D\M            1           2           3           4           5           6           7           8           9          10          11          12
 1    26.0/14:42  25.5/12:53  16.2/00:01  30.1/10:37  31.6/10:11  31.0/14:17  34.4/14:06  33.2/10:55  33.1/12:32  31.5/12:38  25.2/10:16  27.1/13:00
 2    23.9/13:48  25.6/14:19  16.9/16:46  31.1/14:55  30.2/13:11  29.0/14:55  33.6/11:52  34.2/11:40  33.3/11:30  33.0/13:21  27.1/13:36  26.3/13:28
 3    24.5/12:18  23.2/13:38  22.2/14:16  31.2/12:56  30.1/13:56  27.3/12:22  34.3/12:06  33.9/13:22  33.1/12:19  32.6/12:02  27.7/12:23  22.7/15:06
 4    24.8/12:00  20.6/13:06  26.6/13:09  31.5/11:04  27.9/10:16  30.7/16:07  34.0/10:41  32.7/13:24  32.7/13:36  31.6/11:59  28.6/14:49  26.6/15:19
 5    22.2/13:39  21.8/12:06  26.0/14:04  30.5/12:50  30.7/11:39  31.3/12:01  34.0/11:20  32.4/14:17  31.1/11:44  30.4/12:23  29.4/12:47  27.9/13:56
 6    15.2/12:23  25.2/12:06  27.7/12:15  30.0/11:43  32.3/11:21  31.0/12:11  34.2/13:24  32.6/14:01  31.5/09:58  32.0/13:06  31.0/13:13  28.4/13:18
 7    13.8/12:41  25.1/13:28  26.4/11:20  29.6/12:08  32.8/11:47  30.6/14:21  33.8/13:31  32.4/13:36  31.4/10:23  31.1/11:30  29.2/11:37  28.4/12:19
 8    18.0/11:36  24.1/13:44  27.5/13:06  29.1/13:54  32.1/12:35  30.8/12:24  31.4/10:33  33.1/12:49  32.1/12:59  30.9/12:51  29.0/13:41  28.9/13:03
 9    22.6/14:15  21.9/14:41  28.2/13:19  31.4/12:12  33.5/13:00  28.5/00:01  30.6/14:57  31.3/10:55  32.8/10:25  30.4/13:02  29.6/12:16  28.3/14:03
10    23.2/14:22  21.8/13:56  28.6/13:35  29.2/12:25  33.0/13:02  25.3/10:28  33.2/13:16  32.5/11:59  31.4/12:43  31.3/10:19  29.3/12:23  24.5/13:27
11    21.8/12:05  25.5/13:04  28.1/13:53  31.7/13:38  32.7/11:24  26.9/14:19  34.0/14:45  33.2/11:38  30.2/12:35  31.4/13:41  30.1/14:04  25.9/13:40
12    25.8/14:32  25.0/14:07  29.9/12:05  31.5/11:59  33.1/12:20  27.1/08:47  32.4/11:27  33.8/13:33  32.6/13:07  31.6/11:43  28.2/12:38  27.5/12:48
13    23.8/14:53  25.2/15:31  16.1/10:36  29.7/10:17  32.5/11:30  30.3/11:30  29.2/00:01  32.9/12:40  33.8/12:45  30.5/11:19  27.9/12:33  26.9/12:54
14    27.3/14:12  28.0/15:51  22.1/15:44  25.1/14:24  30.6/14:09  32.2/10:49  28.1/22:42  33.2/15:44  31.7/13:11  31.5/13:47  27.1/11:40  23.8/10:09
15    27.9/13:12  29.9/12:26  25.5/12:49  23.4/09:06  29.8/13:23  32.3/11:25  29.3/11:30  33.3/13:01  32.5/12:51  31.5/13:50  26.5/11:06  22.8/10:42
16    28.0/14:57  29.9/12:48  29.4/11:43  19.7/14:11  30.9/13:16  32.4/12:11  28.6/08:44  33.7/11:08  30.8/14:03  30.7/11:44  29.6/13:11  18.7/00:01
17    26.3/14:22  23.0/13:16  30.0/14:06  26.1/12:43  33.0/15:26  33.1/11:20  31.9/12:53  32.4/13:16  31.9/11:02  31.2/12:28  30.6/13:16  19.9/13:48
18    25.0/15:43  21.3/11:58  32.4/14:22  29.8/13:19  29.0/13:22  33.3/12:09  32.8/13:19  30.5/13:34  32.1/13:08  31.0/12:04  32.1/12:15  21.2/13:44
19    28.6/13:26  24.8/14:13  28.9/12:16  31.0/11:54  31.5/10:43  31.8/09:35  33.0/13:34  31.5/13:39  31.3/10:30  30.4/12:14  31.8/11:59  23.9/14:22
20    24.4/11:42  24.8/14:01  24.1/10:24  30.1/12:22  31.7/13:17  33.6/12:57  33.1/11:56  32.0/11:03  30.4/11:34  31.0/11:54  29.6/12:31  24.7/13:31
21    20.8/15:32  25.3/13:33  27.6/14:27  30.2/11:59  31.3/13:30  34.0/12:07  34.1/11:13  33.0/14:50  30.9/12:43  30.3/11:49  29.5/12:51  23.4/14:08
22    16.4/12:49  30.0/14:40  28.4/11:40  32.1/12:10  32.9/12:53  33.7/10:27  33.6/11:49  32.5/12:25  32.0/13:05  30.9/13:51  31.0/13:14  23.9/13:48
23    20.2/15:02  25.8/14:52  27.0/10:30  30.4/10:18  32.1/11:46  33.4/13:07  33.8/12:58  31.0/13:20  32.5/11:39  31.8/12:34  29.2/11:57  24.5/13:53
24    23.2/14:53  24.2/13:39  22.5/13:13  27.3/08:03  32.7/13:00  33.0/12:04  33.0/14:30  33.5/12:34  31.8/11:52  31.1/11:55  29.4/13:55  25.4/12:56
25    23.0/14:04  25.4/15:42  27.0/12:29  30.4/12:01  32.0/11:57  33.5/12:48  28.7/00:01  33.5/12:18  32.0/13:04  30.3/13:38  29.7/13:45  22.9/13:15
26    22.7/13:27  27.0/10:10  22.5/08:52  30.9/10:24  31.9/13:27  34.5/13:45  27.9/08:51  32.4/11:17  31.0/11:58  31.2/13:21  29.4/13:16  23.8/13:05
27    20.5/14:58  23.0/12:29  22.9/11:04  30.5/14:21  31.8/11:24  34.9/12:46  30.7/11:56  32.9/14:28  32.0/12:34  31.5/13:02  30.4/12:24  24.8/12:30
28    21.8/13:13  22.6/14:15  26.1/16:06  25.6/00:01  30.5/13:19  34.8/13:21  33.6/12:19  34.7/13:11  32.0/11:32  31.2/11:11  27.1/11:16  21.2/12:22
29    25.3/12:06              27.3/13:07  26.0/14:58  27.4/00:01  34.5/14:24  33.3/11:56  33.2/12:17  32.5/10:53  31.1/14:20  28.4/13:18  21.8/14:39
30    23.8/13:30              27.7/13:29  29.5/13:52  27.9/09:08  34.4/10:52  32.3/12:17  34.0/13:10  32.3/12:27  30.9/14:00  26.6/13:04  20.2/14:43
31    25.2/14:25              27.8/12:54              31.6/11:18              33.1/12:02  32.9/10:52              29.1/10:59              21.0/14:20
MAX   28.6/13:26  30.0/14:40  32.4/14:22  32.1/12:10  33.5/13:00  34.9/12:46  34.4/14:06  34.7/13:11  33.8/12:45  33.0/13:21  32.1/12:15  28.9/13:03
