中央氣象局  逐月逐日氣象資料

測站:臺南 467410 項目:絕對最低氣溫(℃) 時間:2006 經度:120°12' 17〞E 緯度:22°59' 36〞N
D\M            1           2           3           4           5           6           7           8           9          10          11          12
 1    17.2/23:05  16.4/05:20  11.1/23:47  22.0/06:31  25.6/05:36  26.0/03:39  28.0/04:49  27.9/04:58  27.4/05:16  25.6/06:27  22.4/21:52  19.0/05:22
 2    15.9/07:00  15.7/06:08  10.9/05:02  24.2/05:42  26.2/04:06  24.8/06:44  28.1/04:46  26.8/17:38  27.4/02:49  25.8/05:30  21.4/05:39  18.6/05:23
 3    15.0/07:13  14.9/07:41  13.5/05:11  24.4/05:48  23.9/07:56  24.2/06:44  28.7/04:59  23.3/16:19  26.5/17:35  25.6/23:38  20.1/21:13  18.0/06:31
 4    15.4/05:02  14.0/04:51  14.4/05:49  25.7/05:54  25.6/22:49  24.7/05:40  28.5/05:17  24.1/15:32  26.9/04:09  23.5/23:48  20.6/05:27  17.3/05:58
 5    14.1/23:04  13.2/03:52  15.9/06:24  24.8/04:43  24.3/05:09  26.1/04:36  28.7/05:23  25.5/19:35  25.8/23:57  22.1/02:50  22.7/05:57  17.8/05:54
 6    10.6/23:42  14.3/04:25  18.5/02:52  22.8/23:44  26.6/01:50  26.2/02:38  29.2/02:13  25.8/05:32  25.6/00:11  22.3/05:38  22.7/23:55  18.0/06:22
 7    10.1/02:37  15.5/06:12  20.0/23:55  21.5/03:56  26.6/03:06  28.1/02:18  27.6/06:06  27.0/05:36  25.6/18:25  22.7/05:58  20.5/06:26  20.3/05:53
 8    10.3/06:46  14.8/23:16  18.9/05:59  23.5/02:01  26.0/05:29  27.6/05:40  26.8/19:25  27.1/02:45  25.2/20:31  23.6/05:28  21.4/03:33  20.7/06:58
 9    14.1/05:01  12.5/06:51  19.8/03:36  23.5/04:56  25.6/05:39  23.6/21:33  27.2/19:08  23.7/05:49  25.9/05:39  23.6/05:36  21.8/05:47  19.3/23:52
10    14.7/05:46  13.4/06:00  19.2/06:27  23.6/08:28  26.4/05:07  23.3/03:54  26.4/05:06  26.9/03:41  25.9/18:09  24.7/06:36  21.6/04:54  18.2/04:49
11    15.4/07:37  14.2/06:54  20.0/05:19  25.9/01:39  25.8/23:30  22.1/06:07  27.6/04:52  27.5/05:31  25.9/04:15  25.6/05:02  21.6/23:54  18.3/04:49
12    17.2/00:31  15.4/06:04  14.8/23:56  25.6/05:55  24.6/05:10  24.5/00:01  28.7/07:55  28.0/05:32  26.3/04:47  25.4/03:43  20.1/06:56  20.8/03:56
13    16.4/04:32  17.0/07:07  12.8/18:37  21.7/23:02  23.0/23:32  25.5/03:31  25.7/22:24  28.5/01:10  25.9/05:55  25.7/23:12  22.1/04:12  22.1/05:18
