菏代ら戳	PSI	夹γ琕	珇借单	SO2	NO2	O3	CO	PM10	NO	NitroOxy	NHHC	HydraCarbon	HydraCarbon2	Temp	PH
2005/1/1	68	腶疊稬采	炊硄	10.1	14.2	23.2	0.41	85	7.7	21.9	0.19	1.77	1.96	10.7	
2005/1/2	73	腶疊稬采	炊硄	12.2	27	16.5	0.63	96	12.3	39.3	0.31	1.89	2.19	13.6	
2005/1/3	80	腶疊稬采	炊硄	14.1	31.7	12.1	0.75	110	17	48.7	0.42	1.94	2.36	16.7	
2005/1/4	64	腶疊稬采	炊硄	10	23.8	17.6	0.61	77	8.2	32	0.32	1.84	2.16	18.4	
2005/1/5	70	腶疊稬采	炊硄	10.6	24.4	18	0.64	90	8.9	33.4	0.36	1.88	2.23	18.1	
2005/1/6	62	腶疊稬采	炊硄	9.1	18.9	17.7	0.18	75	8	27	0.29	1.85	2.14	18.6	
2005/1/7	64	腶疊稬采	炊硄	10.5	22.1	19.8	0.53	77	7.9	30.1	0.32	1.87	2.19	18.9	
2005/1/8	58	腶疊稬采	炊硄	9	16.3	18.5	0.44	67	6.6	22.9	0.22	1.83	2.04	18.3	
2005/1/9	56	腶疊稬采	炊硄	9.1	16.3	13.7	0.46	63	6.1	22.5	0.21	1.85	2.06	16.8	
2005/1/10	53	腶疊稬采	炊硄	9.4	18.7	11.7	0.48	56	8.6	27.3	0.26	1.82	2.08	16.7	
2005/1/11	54	腶疊稬采	炊硄	10.9	22.1	13.6	0.5	59	12.7	34.8	0.32	1.88	2.19	18	
2005/1/12	56	腶疊稬采	炊硄	8.9	11.8	17.9	0.44	62	7.3	19	0.2	1.82	2.02	17.7	
2005/1/13	37	腶疊稬采	▆	8.2	14.6	10.1	0.48	37	9.4	24	0.24	1.84	2.07	15.8	
2005/1/14	46	腶疊稬采	▆	8.8	11.5	14.7	0.47	46	7.1	18.6	0.19	1.8	1.99	14	
2005/1/15	77	腶疊稬采	炊硄	13.3	14.9	24.8	0.57	104	8.6	23.5	0.22	1.83	2.04	12.5	
2005/1/16	86	腶疊稬采	炊硄	14.3	17.4	29.2	0.59	123	9.1	26.4	0.21	1.85	2.06	12.3	
2005/1/17	82	腶疊稬采	炊硄	14	31.7	21.7	0.77	113	13.9	45.7	0.41	1.88	2.29	13	
2005/1/18	92	腶疊稬采	炊硄	16	37.3	20.3	0.96	135	20.3	57.5	0.6	1.96	2.55	16.2	
2005/1/19	81	腶疊稬采	炊硄	13.3	31.8	21.2	0.72	112	20.6	52.4	0.47	1.98	2.44	16.9	
2005/1/20	64	腶疊稬采	炊硄	10.9	21.5	21.1	0.65	78	7.4	28.9	0.23	1.97	2.2	16.5	
