ºÊ´ú¤é´Á	PSI	«ü¼Ð¦Ã¬Vª«	ªÅ®ð«~½èµ¥¯Å	SO2	NO2	O3	CO	PM10	NO	NitroOxy	NHHC	HydraCarbon	HydraCarbon2	Temp	PH
2007/1/1	63	Äa¯B·L²É	´¶³q	3.3	18.8	29.9	0.46	76	3.3	22.1	0.17	1.87	2.04	19.8	
2007/1/2	66	¯ä®ñ	´¶³q	4.7	24.7	28.4	0.62	71	4.8	29.4	0.27	1.92	2.19	20.8	
2007/1/3	62	Äa¯B·L²É	´¶³q	4.5	22.7	25.6	0.54	75	4.9	27.6	0.27	1.93	2.19	21.3	
2007/1/4	56	Äa¯B·L²É	´¶³q	4.2	18.9	26.6	0.63	63	2.8	21.7	0.19	1.87	2.06	19.8	
2007/1/5	66	Äa¯B·L²É	´¶³q	5.2	22.2	22.8	0.77	83	4.5	26.7	0.24	1.91	2.15	18.6	
2007/1/6	60	Äa¯B·L²É	´¶³q	6.1	21.7	21.9	0.77	70	4.6	26.3	0.17	1.88	2.05	17.1	
2007/1/7	86	Äa¯B·L²É	´¶³q	7.5	18.5	32.4	0.64	123	4.4	23	0.15	1.89	2.04	15.1	
2007/1/8	41	¯ä®ñ	¨}¦n	6.9*	20.8*	20*	0.57*	101*	7.6*	28.3*	0.17*	1.89*	2.06*	14.5	
2007/1/9	47	¯ä®ñ	¨}¦n	5.7*	30.6*	29.5*	0.81*	122*	1.8*	32.3*	0.32*	1.81*	2.13*	18.2	
2007/1/10	81	Äa¯B·L²É	´¶³q	6.6	33.1	24.8	0.8	112	10.3	43.5	0.36	1.78	2.14	18.1	
2007/1/11	90	¯ä®ñ	´¶³q	5.5	29	37.4	0.81	95	5.9	34.9	0.36	1.8	2.16	19.1	
2007/1/12	66	Äa¯B·L²É	´¶³q	3.6	18.9	26.1	0.55	82	4.4	23.3	0.21	1.72	1.93	19.2	
2007/1/13	62	Äa¯B·L²É	´¶³q	3.3	18.4	27.5	0.58	73	2.8	21.2	0.16	1.73	1.89	18.9	
2007/1/14	60	Äa¯B·L²É	´¶³q	3	18.3	29.4	0.58	69	2	20.3	0.14	1.73	1.87	18.7	
2007/1/15	62	Äa¯B·L²É	´¶³q	4.5	26.1	28.9	0.7	73	4.3	30.4	0.27	1.76	2.04	20.3	
2007/1/16	90	Äa¯B·L²É	´¶³q	3.6	27.7	23.1	0.74	129	4	31.8	0.32	1.81	2.13	20.7	
2007/1/17	62	Äa¯B·L²É	´¶³q	2.8	25.4	12	0.69	75	8.9	34.3	0.26	1.73	1.99	20.8	
2007/1/18	44	Äa¯B·L²É	¨}¦n	2.1	22.3	13.8	0.84	44	4.9	27.2	0.23	1.71	1.94	17.7	
2007/1/19	60	Äa¯B·L²É	´¶³q	3	25.1	14.7	0.96	70	5.1	30.2	0.29	1.76	2.05	18.1	
2007/1/20	78	Äa¯B·L²É	´¶³q	3.3	18	27.4	0.72	107	3.6	21.6	0.2	1.66	1.86	19.1	
2007/1/21	53	Äa¯B·L²É	´¶³q	2.3	14.4	26.8	0.52	56	2.9	17.3	0.13	1.62	1.75	20	
2007/1/22	54	Äa¯B·L²É	´¶³q	3.4	21.1	24.4	0.53	58	2.7	23.8	0.18	1.65	1.84	19.7	
2007/1/23	66	Äa¯B·L²É	´¶³q	2.1	19.6	24.3	0.62	83	2.1	21.7	0.19	1.68	1.87	18.3	
2007/1/24	68	Äa¯B·L²É	´¶³q	5.2	21.3	29.9	0.75	86	2.9	24.2	0.21	1.67	1.89	15.9	
2007/1/25	86	Äa¯B·L²É	´¶³q	6.2	29.2	29.5	0.91	121	10.9	40.1	0.38	1.75	2.13	16.3	
2007/1/26	86	Äa¯B·L²É	´¶³q	4.2	21.7	38.2	0.71	121	2.4	24.1	0.23	1.64	1.87	17.3	
2007/1/27	76	Äa¯B·L²É	´¶³q	6	26.3	21.8	0.73	101	3	29.3	0.23	1.68	1.91	14.8	
