@relation C:\Users\Donny\Desktop\Asthma(«Å¦°±MÃD)\asthma fo project\segmented3_train_project\seq_patterns_arffs\ts152063115641659014639table.tmp
@attribute A0 numeric
@attribute CLASS {C0,C1}

@data

0,C0
0,C0
0,C0
0,C0
1,C0
1,C0
1,C0
1,C0
1,C0
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C0
1,C0
1,C0
1,C0
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C0
1,C0
1,C0
0,C0
0,C0
0,C0
0,C0
1,C0
1,C0
1,C0
1,C0
0,C0
0,C0
0,C0
0,C0
0,C0
1,C0
1,C0
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
0,C0
0,C0
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C0
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C0
0,C0
0,C0
1,C0
1,C0
1,C0
1,C0
1,C0
1,C0
1,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
1,C0
1,C0
1,C0
1,C0
1,C0
1,C0
1,C0
1,C0
1,C0
1,C0
0,C0
1,C0
1,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
0,C0
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
1,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C1
0,C0
0,C0
0,C0
0,C0
0,C0
1,C0
1,C0
1,C0
1,C0
1,C0
1,C0
1,C0
0,C0
0,C0
0,C0
1,C0
1,C0
1,C0
1,C0
1,C0
1,C0
1,C0
1,C0
1,C0
1,C0
1,C0
1,C0
1,C0
